#L TT           EE           TE
390 4.141078E+01 4.060173E-01 -6.444329E-02
391 4.151555E+01 3.270853E-01 -1.154215E-01
392 3.996926E+01 3.609124E-01 -8.763289E-02
393 4.149992E+01 3.791993E-01 -1.545914E-01
394 4.027527E+01 3.856396E-01 -2.326836E-01
395 4.112616E+01 2.739135E-01 -2.189552E-01
396 4.037709E+01 2.480888E-01 -2.563142E-01
397 4.342145E+01 2.576589E-01 -1.154266E-01
398 4.417930E+01 2.338896E-01 5.700316E-02
399 4.088597E+01 2.385770E-01 -6.241949E-02
400 4.578899E+01 2.589146E-01 -5.747666E-02
401 4.097030E+01 3.064360E-01 1.649567E-03
402 4.101939E+01 2.595609E-01 -1.229281E-01
403 3.989706E+01 2.732286E-01 -4.811521E-02
404 4.889943E+01 2.393656E-01 1.635108E-01
405 4.198977E+01 2.801188E-01 2.831740E-02
406 3.969687E+01 3.066357E-01 -2.743636E-02
407 4.059721E+01 3.049645E-01 1.072670E-02
408 4.040966E+01 3.218537E-01 -3.594749E-02
409 3.998319E+01 2.848716E-01 5.140590E-02
410 4.361864E+01 3.062160E-01 3.578334E-02
411 4.087313E+01 2.440530E-01 2.441360E-02
412 3.987084E+01 2.099847E-01 3.568349E-02
413 4.117915E+01 2.680409E-01 -2.761858E-02
414 3.872610E+01 1.941368E-01 7.265804E-03
415 4.057347E+01 2.736994E-01 9.037524E-02
416 4.491011E+01 2.443249E-01 4.930114E-02
417 4.019790E+01 2.117933E-01 7.077141E-02
418 4.375539E+01 2.013461E-01 1.791886E-02
419 4.007716E+01 2.265563E-01 5.746292E-02
420 4.114731E+01 2.675038E-01 2.381272E-01
421 3.881494E+01 2.221691E-01 1.809663E-01
422 4.011014E+01 2.036418E-01 1.055415E-01
423 3.741931E+01 2.602738E-01 2.560270E-01
424 3.854491E+01 2.164273E-01 1.705344E-01
425 4.099658E+01 1.858449E-01 9.373805E-02
426 3.855057E+01 2.082451E-01 1.719622E-01
427 3.964512E+01 2.168248E-01 9.119424E-02
428 3.784620E+01 2.589320E-01 3.751513E-02
429 3.719314E+01 2.281422E-01 8.605355E-02
430 3.606292E+01 2.410914E-01 1.588150E-01
431 3.587503E+01 1.870337E-01 1.601253E-01
432 3.579246E+01 1.612935E-01 1.370337E-01
433 3.996179E+01 1.883379E-01 1.200729E-01
