#L TT           EE
325 5.871689E-04 1.174338E-03
326 5.911297E-04 1.182259E-03
327 5.951067E-04 1.190213E-03
328 5.990999E-04 1.198200E-03
329 6.031095E-04 1.206219E-03
330 6.071355E-04 1.214271E-03
331 6.111778E-04 1.222356E-03
332 6.152366E-04 1.230473E-03
333 6.193119E-04 1.238624E-03
334 6.234037E-04 1.246807E-03
335 6.275120E-04 1.255024E-03
336 6.316369E-04 1.263274E-03
337 6.357784E-04 1.271557E-03
338 6.399366E-04 1.279873E-03
339 6.441115E-04 1.288223E-03
340 6.483030E-04 1.296606E-03
341 6.525114E-04 1.305023E-03
342 6.567366E-04 1.313473E-03
343 6.609786E-04 1.321957E-03
344 6.652375E-04 1.330475E-03
345 6.695132E-04 1.339026E-03
346 6.738060E-04 1.347612E-03
347 6.781157E-04 1.356231E-03
348 6.824425E-04 1.364885E-03
349 6.867863E-04 1.373573E-03
350 6.911473E-04 1.382295E-03
351 6.955254E-04 1.391051E-03
352 6.999206E-04 1.399841E-03
353 7.043331E-04 1.408666E-03
354 7.087629E-04 1.417526E-03
355 7.132099E-04 1.426420E-03
356 7.176743E-04 1.435349E-03
357 7.221561E-04 1.444312E-03
358 7.266552E-04 1.453310E-03
359 7.311719E-04 1.462344E-03
360 7.357060E-04 1.471412E-03
361 7.402577E-04 1.480515E-03
362 7.448269E-04 1.489654E-03
363 7.494137E-04 1.498827E-03
364 7.540182E-04 1.508036E-03
365 7.586404E-04 1.517281E-03
366 7.632803E-04 1.526561E-03
367 7.679380E-04 1.535876E-03
368 7.726135E-04 1.545227E-03
369 7.773068E-04 1.554614E-03
370 7.820180E-04 1.564036E-03
371 7.867472E-04 1.573494E-03
372 7.914943E-04 1.582989E-03
373 7.962595E-04 1.592519E-03
374 8.010427E-04 1.602085E-03
375 8.058440E-04 1.611688E-03
376 8.106634E-04 1.621327E-03
377 8.155011E-04 1.631002E-03
378 8.203569E-04 1.640714E-03
379 8.252310E-04 1.650462E-03
380 8.301234E-04 1.660247E-03
381 8.350341E-04 1.670068E-03
382 8.399632E-04 1.679926E-03
383 8.449108E-04 1.689822E-03
384 8.498768E-04 1.699754E-03
385 8.548613E-04 1.709723E-03
386 8.598644E-04 1.719729E-03
387 8.648861E-04 1.729772E-03
388 8.699264E-04 1.739853E-03
389 8.749854E-04 1.749971E-03
390 8.800631E-04 1.760126E-03
391 8.851596E-04 1.770319E-03
392 8.902749E-04 1.780550E-03
393 8.954090E-04 1.790818E-03
394 9.005621E-04 1.801124E-03
395 9.057341E-04 1.811468E-03
396 9.109250E-04 1.821850E-03
397 9.161350E-04 1.832270E-03
398 9.213640E-04 1.842728E-03
399 9.266122E-04 1.853224E-03
400 9.318795E-04 1.863759E-03
401 9.371660E-04 1.874332E-03
402 9.424718E-04 1.884944E-03
403 9.477969E-04 1.895594E-03
404 9.531413E-04 1.906283E-03
405 9.585050E-04 1.917010E-03
406 9.638882E-04 1.927776E-03
407 9.692908E-04 1.938582E-03
408 9.747130E-04 1.949426E-03
409 9.801547E-04 1.960309E-03
410 9.856161E-04 1.971232E-03
411 9.910970E-04 1.982194E-03
412 9.965977E-04 1.993195E-03
413 1.002118E-03 2.004236E-03
414 1.007658E-03 2.015317E-03
415 1.013218E-03 2.026437E-03
416 1.018798E-03 2.037596E-03
417 1.024398E-03 2.048796E-03
418 1.030018E-03 2.060035E-03
419 1.035658E-03 2.071315E-03
420 1.041317E-03 2.082635E-03
421 1.046997E-03 2.093995E-03
422 1.052697E-03 2.105395E-03
423 1.058418E-03 2.116835E-03
424 1.064158E-03 2.128317E-03
425 1.069919E-03 2.139838E-03
426 1.075700E-03 2.151401E-03
427 1.081502E-03 2.163004E-03
428 1.087324E-03 2.174648E-03
429 1.093166E-03 2.186333E-03
430 1.099029E-03 2.198059E-03
431 1.104913E-03 2.209826E-03
432 1.110817E-03 2.221634E-03
433 1.116742E-03 2.233484E-03
434 1.122688E-03 2.245376E-03
435 1.128654E-03 2.257308E-03
436 1.134641E-03 2.269283E-03
437 1.140649E-03 2.281299E-03
438 1.146678E-03 2.293357E-03
439 1.152728E-03 2.305457E-03
440 1.158799E-03 2.317599E-03
441 1.164891E-03 2.329783E-03
442 1.171005E-03 2.342009E-03
443 1.177139E-03 2.354278E-03
444 1.183294E-03 2.366589E-03
445 1.189471E-03 2.378943E-03
446 1.195669E-03 2.391339E-03
447 1.201889E-03 2.403778E-03
448 1.208130E-03 2.416259E-03
449 1.214392E-03 2.428784E-03
450 1.220676E-03 2.441352E-03
451 1.226981E-03 2.453963E-03
452 1.233308E-03 2.466617E-03
453 1.239657E-03 2.479314E-03
454 1.246027E-03 2.492055E-03
455 1.252420E-03 2.504839E-03
456 1.258834E-03 2.517667E-03
457 1.265270E-03 2.530539E-03
458 1.271727E-03 2.543455E-03
459 1.278207E-03 2.556414E-03
460 1.284709E-03 2.569418E-03
461 1.291233E-03 2.582465E-03
462 1.297779E-03 2.595557E-03
463 1.304347E-03 2.608694E-03
464 1.310937E-03 2.621875E-03
465 1.317550E-03 2.635100E-03
466 1.324185E-03 2.648370E-03
467 1.330842E-03 2.661685E-03
468 1.337522E-03 2.675044E-03
469 1.344225E-03 2.688449E-03
470 1.350949E-03 2.701899E-03
471 1.357697E-03 2.715394E-03
472 1.364467E-03 2.728934E-03
473 1.371260E-03 2.742520E-03
474 1.378076E-03 2.756151E-03
475 1.384914E-03 2.769828E-03
476 1.391775E-03 2.783551E-03
477 1.398660E-03 2.797319E-03
478 1.405567E-03 2.811134E-03
479 1.412497E-03 2.824994E-03
480 1.419451E-03 2.838901E-03
481 1.426427E-03 2.852854E-03
482 1.433427E-03 2.866854E-03
483 1.440450E-03 2.880900E-03
484 1.447496E-03 2.894992E-03
485 1.454566E-03 2.909131E-03
486 1.461659E-03 2.923318E-03
487 1.468775E-03 2.937551E-03
488 1.475915E-03 2.951831E-03
489 1.483079E-03 2.966158E-03
490 1.490266E-03 2.980533E-03
491 1.497477E-03 2.994955E-03
492 1.504712E-03 3.009424E-03
493 1.511971E-03 3.023942E-03
494 1.519253E-03 3.038507E-03
495 1.526560E-03 3.053119E-03
496 1.533890E-03 3.067780E-03
497 1.541244E-03 3.082489E-03
498 1.548623E-03 3.097246E-03
499 1.556026E-03 3.112051E-03
500 1.563453E-03 3.126905E-03
501 1.570904E-03 3.141808E-03
502 1.578379E-03 3.156759E-03
503 1.585879E-03 3.171758E-03
504 1.593404E-03 3.186807E-03
505 1.600952E-03 3.201905E-03
506 1.608526E-03 3.217052E-03
507 1.616124E-03 3.232248E-03
508 1.623747E-03 3.247493E-03
509 1.631394E-03 3.262788E-03
510 1.639066E-03 3.278133E-03
511 1.646764E-03 3.293527E-03
512 1.654486E-03 3.308971E-03
513 1.662233E-03 3.324466E-03
514 1.670005E-03 3.340010E-03
515 1.677802E-03 3.355604E-03
516 1.685625E-03 3.371249E-03
517 1.693472E-03 3.386944E-03
518 1.701345E-03 3.402690E-03
519 1.709243E-03 3.418486E-03
520 1.717167E-03 3.434334E-03
521 1.725116E-03 3.450232E-03
522 1.733091E-03 3.466181E-03
523 1.741091E-03 3.482182E-03
524 1.749117E-03 3.498233E-03
525 1.757168E-03 3.514337E-03
526 1.765246E-03 3.530491E-03
527 1.773349E-03 3.546698E-03
528 1.781478E-03 3.562956E-03
529 1.789633E-03 3.579266E-03
530 1.797814E-03 3.595628E-03
531 1.806021E-03 3.612043E-03
532 1.814255E-03 3.628510E-03
533 1.822514E-03 3.645029E-03
534 1.830800E-03 3.661600E-03
535 1.839112E-03 3.678225E-03
536 1.847451E-03 3.694902E-03
537 1.855816E-03 3.711632E-03
538 1.864208E-03 3.728415E-03
539 1.872626E-03 3.745252E-03
540 1.881071E-03 3.762141E-03
541 1.889542E-03 3.779085E-03
542 1.898041E-03 3.796081E-03
543 1.906566E-03 3.813132E-03
544 1.915118E-03 3.830236E-03
545 1.923697E-03 3.847394E-03
546 1.932303E-03 3.864607E-03
547 1.940937E-03 3.881873E-03
548 1.949597E-03 3.899194E-03
549 1.958285E-03 3.916570E-03
550 1.967000E-03 3.934000E-03
551 1.975742E-03 3.951485E-03
552 1.984512E-03 3.969025E-03
553 1.993310E-03 3.986620E-03
554 2.002135E-03 4.004270E-03
555 2.010987E-03 4.021975E-03
556 2.019868E-03 4.039736E-03
557 2.028776E-03 4.057552E-03
558 2.037712E-03 4.075424E-03
559 2.046676E-03 4.093352E-03
560 2.055668E-03 4.111336E-03
561 2.064688E-03 4.129375E-03
562 2.073736E-03 4.147472E-03
563 2.082812E-03 4.165624E-03
564 2.091917E-03 4.183833E-03
565 2.101050E-03 4.202099E-03
566 2.110211E-03 4.220422E-03
567 2.119401E-03 4.238801E-03
568 2.128619E-03 4.257238E-03
569 2.137866E-03 4.275731E-03
570 2.147141E-03 4.294283E-03
571 2.156446E-03 4.312891E-03
572 2.165779E-03 4.331557E-03
573 2.175141E-03 4.350281E-03
574 2.184532E-03 4.369063E-03
575 2.193952E-03 4.387903E-03
576 2.203401E-03 4.406802E-03
577 2.212879E-03 4.425758E-03
578 2.222387E-03 4.444773E-03
579 2.231923E-03 4.463847E-03
580 2.241490E-03 4.482979E-03
581 2.251085E-03 4.502171E-03
582 2.260710E-03 4.521421E-03
583 2.270365E-03 4.540731E-03
584 2.280050E-03 4.560100E-03
585 2.289764E-03 4.579528E-03
586 2.299508E-03 4.599016E-03
587 2.309282E-03 4.618564E-03
588 2.319086E-03 4.638172E-03
589 2.328920E-03 4.657839E-03
590 2.338784E-03 4.677568E-03
591 2.348678E-03 4.697356E-03
592 2.358602E-03 4.717205E-03
593 2.368557E-03 4.737115E-03
594 2.378542E-03 4.757085E-03
595 2.388558E-03 4.777116E-03
596 2.398604E-03 4.797209E-03
597 2.408681E-03 4.817363E-03
598 2.418789E-03 4.837578E-03
599 2.428927E-03 4.857855E-03
600 2.439096E-03 4.878193E-03
601 2.449297E-03 4.898593E-03
602 2.459528E-03 4.919056E-03
603 2.469790E-03 4.939580E-03
604 2.480083E-03 4.960167E-03
605 2.490408E-03 4.980816E-03
606 2.500764E-03 5.001528E-03
607 2.511151E-03 5.022303E-03
608 2.521570E-03 5.043140E-03
609 2.532021E-03 5.064041E-03
610 2.542503E-03 5.085005E-03
611 2.553016E-03 5.106032E-03
612 2.563562E-03 5.127123E-03
613 2.574139E-03 5.148278E-03
614 2.584748E-03 5.169496E-03
615 2.595389E-03 5.190779E-03
616 2.606063E-03 5.212125E-03
617 2.616768E-03 5.233536E-03
618 2.627506E-03 5.255012E-03
619 2.638276E-03 5.276552E-03
620 2.649079E-03 5.298157E-03
621 2.659913E-03 5.319827E-03
622 2.670781E-03 5.341562E-03
623 2.681681E-03 5.363362E-03
624 2.692614E-03 5.385228E-03
625 2.703580E-03 5.407160E-03
626 2.714578E-03 5.429157E-03
627 2.725610E-03 5.451220E-03
628 2.736674E-03 5.473349E-03
629 2.747772E-03 5.495544E-03
630 2.758903E-03 5.517806E-03
631 2.770067E-03 5.540135E-03
632 2.781265E-03 5.562530E-03
633 2.792496E-03 5.584992E-03
634 2.803761E-03 5.607521E-03
635 2.815059E-03 5.630118E-03
636 2.826391E-03 5.652781E-03
637 2.837756E-03 5.675513E-03
638 2.849156E-03 5.698312E-03
639 2.860589E-03 5.721179E-03
640 2.872057E-03 5.744114E-03
641 2.883559E-03 5.767117E-03
642 2.895095E-03 5.790189E-03
643 2.906665E-03 5.813329E-03
644 2.918269E-03 5.836538E-03
645 2.929908E-03 5.859816E-03
646 2.941582E-03 5.883163E-03
647 2.953290E-03 5.906580E-03
648 2.965033E-03 5.930065E-03
649 2.976810E-03 5.953621E-03
650 2.988623E-03 5.977246E-03
651 3.000470E-03 6.000941E-03
652 3.012353E-03 6.024706E-03
653 3.024271E-03 6.048541E-03
654 3.036223E-03 6.072447E-03
655 3.048212E-03 6.096423E-03
656 3.060235E-03 6.120471E-03
657 3.072294E-03 6.144589E-03
658 3.084389E-03 6.168778E-03
659 3.096519E-03 6.193039E-03
660 3.108685E-03 6.217371E-03
661 3.120887E-03 6.241775E-03
662 3.133125E-03 6.266250E-03
663 3.145399E-03 6.290798E-03
664 3.157709E-03 6.315418E-03
665 3.170055E-03 6.340110E-03
666 3.182437E-03 6.364875E-03
667 3.194856E-03 6.389712E-03
668 3.207311E-03 6.414623E-03
669 3.219803E-03 6.439606E-03
670 3.232332E-03 6.464663E-03
671 3.244897E-03 6.489793E-03
672 3.257499E-03 6.514997E-03
673 3.270137E-03 6.540275E-03
674 3.282813E-03 6.565627E-03
675 3.295526E-03 6.591052E-03
676 3.308276E-03 6.616553E-03
677 3.321064E-03 6.642127E-03
678 3.333888E-03 6.667777E-03
679 3.346751E-03 6.693501E-03
680 3.359650E-03 6.719301E-03
681 3.372588E-03 6.745175E-03
682 3.385563E-03 6.771125E-03
683 3.398576E-03 6.797151E-03
684 3.411626E-03 6.823253E-03
685 3.424715E-03 6.849431E-03
686 3.437842E-03 6.875684E-03
687 3.451007E-03 6.902015E-03
688 3.464211E-03 6.928422E-03
689 3.477453E-03 6.954905E-03
690 3.490733E-03 6.981466E-03
691 3.504052E-03 7.008103E-03
692 3.517409E-03 7.034818E-03
693 3.530805E-03 7.061611E-03
694 3.544241E-03 7.088481E-03
695 3.557715E-03 7.115429E-03
696 3.571228E-03 7.142455E-03
697 3.584780E-03 7.169560E-03
698 3.598371E-03 7.196743E-03
699 3.612002E-03 7.224005E-03
700 3.625673E-03 7.251345E-03
701 3.639382E-03 7.278765E-03
702 3.653132E-03 7.306263E-03
703 3.666921E-03 7.333842E-03
704 3.680750E-03 7.361500E-03
705 3.694619E-03 7.389237E-03
706 3.708528E-03 7.417055E-03
707 3.722476E-03 7.444953E-03
708 3.736466E-03 7.472931E-03
709 3.750495E-03 7.500990E-03
