#L TT           EE           TE
217 1.380337E+02 3.859507E-03 -5.312945E-02
218 4.489626E+01 7.126809E-03 8.965560E-03
219 1.010812E+02 6.525769E-03 8.043760E-02
220 6.413131E+01 1.359953E-02 3.605295E-02
221 6.089281E+01 1.162479E-02 2.695368E-02
222 1.411519E+02 9.887708E-03 -3.006642E-02
223 7.232372E+01 1.417044E-02 -9.521423E-02
224 3.760475E+01 1.206072E-02 -2.027327E-02
225 8.419292E+01 1.251412E-02 -4.040076E-02
226 1.318177E+02 6.109160E-03 -4.733105E-02
227 8.440666E+01 2.876529E-02 3.596975E-02
228 7.230931E+01 1.622242E-02 -2.924208E-02
229 1.554398E+02 4.617495E-03 -3.887848E-02
230 1.233427E+02 8.579714E-03 -5.215197E-03
231 1.371924E+02 9.264514E-03 5.680977E-03
232 4.251695E+01 6.145415E-03 -3.056242E-02
233 1.379457E+02 3.404542E-02 -1.311367E-01
234 1.109255E+02 8.089120E-03 -1.008012E-01
235 4.671762E+01 1.421043E-02 -3.217067E-02
236 1.237181E+02 1.953625E-02 -1.423712E-03
237 8.454643E+01 2.293173E-02 6.075362E-02
238 1.478383E+02 2.469013E-02 -4.570878E-02
239 1.092367E+02 1.519553E-02 -1.203809E-01
240 1.676420E+02 1.273582E-02 -1.700384E-01
241 6.044933E+01 3.272727E-02 3.578222E-02
242 1.075184E+02 1.748075E-02 4.642294E-02
243 5.178035E+01 1.729625E-02 3.101626E-02
244 1.188134E+02 3.773721E-02 5.652674E-02
245 6.757442E+01 1.657054E-02 -6.835227E-02
246 6.229130E+01 1.421107E-02 -6.761010E-02
247 1.629437E+02 1.944492E-02 5.708790E-02
248 3.642111E+01 2.091537E-02 5.270745E-02
249 6.993561E+01 1.408943E-02 -9.805648E-02
250 1.047894E+02 2.449656E-02 -2.053405E-02
251 7.521922E+01 6.148306E-02 -5.273766E-02
252 6.077478E+01 3.015777E-03 1.505909E-02
253 4.027432E+01 2.078102E-02 2.116287E-02
254 6.223158E+01 9.470538E-03 -1.981224E-02
255 3.525215E+01 2.089035E-02 -1.014728E-01
256 8.841840E+01 1.725025E-02 -8.122060E-02
257 6.698038E+01 2.152879E-02 1.135447E-01
258 8.256442E+01 2.332849E-02 -4.823345E-02
259 9.687275E+01 1.634624E-02 -1.568466E-02
260 8.387943E+01 4.205969E-02 -5.129898E-02
261 1.357677E+02 6.710751E-02 1.914667E-01
262 7.947481E+01 4.668612E-02 1.093170E-01
263 9.244396E+01 5.721399E-02 1.503301E-01
264 8.307961E+01 2.726161E-02 1.895847E-02
265 9.755264E+01 4.731859E-02 4.063771E-02
266 3.219608E+01 2.582669E-02 3.135484E-02
267 4.857920E+01 1.561571E-02 9.336511E-02
268 7.247737E+01 1.102903E-02 -5.575434E-02
269 5.988014E+01 4.322994E-02 6.067998E-02
270 1.174585E+02 2.278426E-02 -4.543624E-02
271 8.849162E+01 1.854627E-02 1.328238E-01
272 5.922143E+01 3.036968E-02 1.415447E-01
273 4.953907E+01 3.857739E-02 -2.630764E-02
274 1.382613E+02 5.936624E-02 1.486051E-02
275 3.404919E+01 6.073991E-02 1.091884E-01
276 4.249200E+01 7.078786E-02 1.165705E-02
277 4.980017E+01 1.917022E-02 -2.115968E-02
278 1.031599E+02 3.728229E-02 7.507323E-02
279 3.871910E+01 1.757540E-01 -5.031095E-02
280 4.252885E+01 3.280928E-02 5.214811E-02
281 1.037318E+02 3.569001E-02 -1.915580E-01
282 2.472585E+01 4.602054E-02 -9.121440E-02
283 3.342698E+01 3.824196E-02 -2.336887E-02
284 4.651071E+01 5.341067E-02 -2.401570E-03
285 6.207478E+01 7.916054E-02 1.866138E-01
286 5.192978E+01 6.735172E-02 2.454028E-02
287 1.048826E+02 1.240301E-01 -1.664027E-01
288 4.388416E+01 3.970693E-03 3.326807E-03
289 8.915942E+01 8.631109E-02 3.286281E-01
290 6.877066E+01 1.076356E-01 -2.376928E-02
291 1.999028E+01 1.233621E-01 1.368127E-01
292 1.119222E+02 6.907589E-02 -1.424879E-01
293 2.043080E+01 5.892515E-02 -1.609527E-01
294 4.075811E+01 3.123311E-02 1.788158E-01
295 5.126160E+01 6.317423E-02 8.925687E-02
296 2.157099E+01 9.232275E-02 -6.515081E-02
297 2.316224E+01 2.790277E-02 7.107256E-02
298 3.138900E+01 7.061579E-02 1.092888E-01
299 5.493336E+01 1.343088E-01 1.685451E-01
300 7.252850E+01 3.039222E-02 1.325192E-01
301 6.356386E+01 2.174157E-02 -6.614133E-02
302 2.822256E+01 1.073540E-02 -1.830113E-02
303 2.417419E+01 3.146595E-02 -1.293622E-02
304 6.746596E+01 9.254274E-02 -1.860840E-02
305 4.883133E+01 6.497263E-02 1.471128E-01
306 2.216238E+01 9.858333E-02 1.481415E-01
307 5.847854E+01 1.184974E-02 1.250891E-02
308 2.263375E+01 4.818642E-02 -8.318472E-02
309 5.180266E+01 3.698162E-02 4.510146E-03
310 5.376278E+01 4.654082E-02 8.355202E-02
311 5.214402E+01 1.120905E-01 -1.067963E-01
312 4.468121E+01 1.672017E-01 -8.193655E-02
313 3.377036E+01 7.600372E-02 2.121271E-02
314 8.632915E+01 8.655017E-03 -1.810899E-02
315 5.544364E+01 1.508326E-02 -4.444411E-02
316 3.164195E+01 1.042837E-01 -4.398705E-02
317 2.605217E+01 4.983965E-02 2.074934E-02
318 2.185077E+01 3.811124E-02 1.014904E-01
